serial_number,failure
S30015PW,0
S3004XS2,0
S3006NTM,0
S3006NW1,1
S3006XVN,1
S3006YCG,1
S30070F5,1
S30075JQ,0
S30075JX,0
S3007BQ1,0
S300818F,1
S30081G7,1
S3008D3H,0
S3009QRB,0
S300FEX3,0
S300FYK9,0
S300GXQR,0
S300HS96,1
S300HYGQ,0
S300K1JF,0
S300RSAF,0
S300TQZA,1
S300VKP4,1
S300VL06,0
S300VLB0,0
S300VLBG,0
S300VLLF,1
S300VLN0,1
S300VLNB,0
S300W85C,0
S300WDBK,1
S300WDP3,0
S300WDP6,0
S300WDPY,0
S300WE57,1
S300WEE9,1
S300WEH8,0
S300WF10,0
S300WF20,0
S300WF24,0
S300WF2M,0
S300WFAD,1
S300WFAX,1
S300X38H,0
S300X8Z1,0
S300X8ZD,0
S300X985,1
S300X9C1,1
S300XANN,1
S300XB03,0
S300XB04,0
S300XB07,0
S300XB0X,0
S300XB3J,1
S300XBEZ,0
S300XBP0,1
S300XC71,0
S300XC72,0
S300XCCD,1
S300XCPL,1
S300XCS9,1
S300XCV7,0
S300XD7N,0
S300XDS7,0
S300XDSE,0
S300XDYR,1
S300XKE8,0
S300XL0E,0
S300XL4J,1
S300XM1A,0
S300XM72,0
S300XQ00,0
S300XQA6,0
S300XQQ2,0
S300XR3Z,0
S300XR7S,1
S300XRK1,1
S300XRSS,1
S300XS17,1
S300Y2V4,0
S300Y55Y,1
S300YC4L,1
S300YC8B,0
S300YC8R,0
S300YFEB,1
S300YGJC,0
S300YHAT,0
S300YJ50,0
S300YL9S,1
S300YPL8,1
S300YPP0,0
S300YPP4,0
S300YPY2,1
S300YQ6K,1
S300YQ8S,1
S300YQF1,1
S300YQS9,0
S300YQSG,0
S300YQSH,0
S300YQSP,0
S300YQT2,0
S300YQTN,0
S300YQTW,0
S300YS1W,1
S300YSD3,0
S300YSED,0
S300YSEF,0
S300YSEP,0
S300YSES,0
S300YSET,0
S300YSEV,0
S300YSEW,0
S300YSEZ,0
S300YTW4,1
S300Z0LB,0
S300Z0TD,1
S300Z3QV,1
S300Z3VW,1
S300Z3X1,0
S300Z3XA,0
S300Z3XB,0
S300Z3XD,0
S300Z3XH,0
S300Z3XK,0
S300Z3XL,0
S300Z3XN,0
S300Z3XP,0
S300Z410,0
S300Z413,0
S300Z415,0
S300Z41B,0
S300Z41D,0
S300Z41P,0
S300Z41Q,0
S300Z41W,0
S300Z41Y,0
S300Z41Z,0
S300Z47B,1
S300Z4JV,1
S300Z4KZ,1
S300Z4NX,1
S300Z4R1,0
S300Z4R3,0
S300Z4R4,0
S300Z4R9,0
S300Z4RN,0
S300Z4RR,0
S300Z4RV,0
S300Z4RX,0
S300Z4RY,0
S300Z4S8,1
S300Z4TD,1
S300Z4ZE,1
S300Z54C,1
S300Z599,0
S300Z59N,0
S300Z59P,0
S300Z59R,0
S300Z59X,0
S300Z59Y,0
S300Z5ES,1
S300Z5G8,1
S300Z5N0,1
S300Z5PN,1
S300Z5TJ,1
S300Z5WC,1
S300Z60K,0
S300Z60P,1
S300Z685,0
S300Z6J8,1
S300Z6TB,0
S300Z6WX,1
S300Z6Y0,0
S300Z6Y1,0
S300Z6Y3,0
S300Z6Y5,0
S300Z6Y7,0
S300Z6YA,0
S300Z6YJ,0
S300Z6YM,0
S300Z6YP,0
S300Z6YS,0
S300Z6YV,0
S300Z792,1
S300Z79Y,1
S300Z7BM,1
S300Z7TB,1
S300Z7W5,0
S300Z7WD,0
S300Z7WL,0
S300Z7WM,0
S300Z7WQ,0
S300Z7WV,0
S300Z7WZ,0
S300Z8GK,0
S300Z8GW,0
S300Z9WH,0
S300ZAFC,0
S300ZAFF,0
S300ZAFR,0
S300ZAFS,0
S300ZB5P,0
S300ZNMD,1
S300ZP5B,0
S300ZPX2,0
S300ZQ4S,0
S300ZRCZ,1
S300ZRGK,0
S300ZS07,0
S300ZSGT,0
S300ZVMZ,0
S30101R4,1
S301063N,0
S30108XD,0
S30109BA,0
S30109P0,1
S30109YP,1
S3010A33,0
S3010A3G,0
S3010CKZ,1
S3010CM5,1
S3010GJN,0
S3010H10,1
S3010H42,0
S3010LYP,1
S3010LZD,0
S3010LZK,1
S3010LZQ,0
S3010LZV,0
S3010M72,0
S3010M78,0
S3010M7E,0
S3010M7H,0
S3010M7R,0
S3010M82,0
S3010M8M,0
S3010M8X,1
S3010M8Y,0
S3010MM7,0
S3010MMG,0
S3010MMW,0
S3010MMZ,0
S3010T5N,0
S3010VL6,0
S3010WBY,0
S3010ZZ2,0
S3010ZZN,0
S30110GN,1
S30111BM,0
S30111L2,1
S301121G,1
S30112SG,1
S301138F,0
S301138H,0
S301138X,0
S30113AW,0
S30113RZ,1
S30113VA,0
S30114KR,1
S30115D0,1
S30115FJ,1
S30115LG,1
S30115V0,0
S30115V8,0
S30115VH,0
S30115VN,0
S30115VX,0
S3011652,0
S3011657,0
S301165D,0
S301165K,0
S301165L,0
S301165T,0
S3011696,1
S30116C6,0
S30116CB,0
S30116CD,0
S30116CM,0
S30116CN,0
S30116CX,0
S30116HJ,1
S301175A,0
S301175J,0
S301175S,0
S301175Z,0
S30117D1,0
S30117DQ,0
S30117DR,0
S30117SW,1
S30117YJ,0
S30117YT,0
S301181R,1
S3011ES6,0
S3011ESK,0
S3011ESM,0
S3011ESW,0
S3011FSF,0
S3011HAB,0
S3016LT5,0
S3017DRJ,0
S3017S26,0
S301CYBE,1
S301D38T,0
S301D8HV,0
S301DYCL,0
S301EDBH,0
S301EM9Y,1
S301GMGW,0
S301GML1,0
S301GMLG,0
S301GMLL,0
S301GMLY,0
S301GMY3,0
S301GMYL,0
S301GN45,0
S301GN48,1
S301GN4E,0
S301GN4Z,0
S301GNM7,1
S301GNPF,1
S301GPLJ,1
S301GPM6,0
S301GPMD,0
S301GPML,0
S301GPVX,0
S301GQB1,0
S301GQBS,0
S301GRV9,0
S301GRVB,0
S301GVD4,0
S301GYNJ,0
S301J0XB,0
S301J66R,0
S301JM5E,0
S301K4ZA,0
S301K73Q,0
S301KH41,1
S301KQQX,1
S301KQZP,0
S301KX6B,0
S301KXZY,1
S301L4NJ,0
S301L4VD,1
S301LCWG,1
S301LDJJ,0
S301LPVM,0
S301MK84,0
S301ND8Y,0
S301NEMA,1
S301NG7A,1
S301NG8Q,1
S301NGGN,0
S301NGLL,0
S301NGZ7,0
S301NGZ8,0
S301NGZM,0
S301NGZN,0
S301NGZV,0
S301NHAJ,1
S301NHPX,0
S301NJ75,0
S301NJ7F,0
S301NJRT,0
S301NKHC,0
S301NKHF,0
S301NKHL,0
S301NKLJ,1
S301NMGZ,1
S301NPAD,0
S301NXMX,1
S301NXV6,0
S301NXVB,0
S301NXVE,0
S301NY9Z,1
S301NYES,0
S301P168,0
S301PPYE,1
S301PQ3E,0
S301PQ3S,0
S301PQ3X,0
S301PRTA,0
S301PS24,1
S301PSLG,1
S301PSWQ,0
S301PSWZ,0
S301PTS3,1
S301PVNF,0
S301PX4L,1
S301PYFW,0
W3001FZP,1
W3002NPJ,0
W3002NQ7,1
W3002Q74,1
W3002TBX,0
W3002TM8,1
W3002Y7X,1
W3003N9X,0
W3003ZEE,1
W30045XN,1
W30045Y4,1
W30045Y6,1
W3004W4G,0
W3004Y7M,1
W3004Z2W,1
W3004Z5N,1
W3004ZJ2,0
W3004ZJ7,0
W3004ZJB,1
W3004ZQ3,1
W3004ZZX,1
W3005047,1
W3005N87,0
W3005ND5,0
W3005W0E,0
W30062F4,0
W30062HL,1
W300657K,1
W30065CH,0
W30065MC,1
W30068RW,1
W3006C55,0
W3006CNF,1
W3006CRJ,1
W3006DL6,1
W3006F7Q,0
W3006LZF,0
W3006MEJ,1
W3006NJ3,0
W3006NKQ,0
W3006NV4,1
W3006NXV,1
W3007K9N,1
W3007MK2,1
W3007MZF,0
W30088ZB,1
W3008EKS,1
W3008KMG,0
W3008L6X,1
W3008PM0,1
W30091DJ,0
W30092GM,0
W300960V,1
W3009F3A,0
W3009F9G,1
W3009FB2,1
W3009FB6,1
W3009JS3,1
W3009NH1,0
W3009QGQ,1
W300A68W,1
W300A6PR,0
W300A8VN,0
W300A92L,1
W300AF73,1
W300AJHL,1
W300AJZD,1
W300AM9K,0
W300ANVZ,1
W300ASMG,0
W300ATH8,1
W300AWBZ,0
W300AX6L,1
W300B0JC,0
W300B10F,0
W300B10L,0
W300B10S,1
W300B2L0,1
W300B2Q4,1
W300B2QA,0
W300B2QQ,0
W300B2QY,0
W300B610,1
W300B64P,1
W300B66H,1
W300B6AC,1
W300B6M4,1
W300B6N3,1
W300B6TY,0
W300B713,0
W300B714,0
W300BBG0,1
W300BCEL,0
W300BD3F,1
W300BD7L,1
W300BD8D,1
W300BDBG,1
W300BDP6,1
W300BDR3,0
W300BE0V,1
W300BFT0,1
W300BG0C,0
W300BGZ1,1
W300BH77,1
W300BHAE,1
W300BHJX,1
W300BHQE,1
W300BHS6,1
W300BHZ2,1
W300BJ07,1
W300BJ5B,0
W300BJAB,1
W300BLCR,1
W300BLNY,1
W300BMBN,1
W300BMQA,1
W300BMRD,1
W300BMZA,1
W300BN15,0
W300BN3T,1
W300BN84,1
W300BNC1,0
W300BNCB,0
W300BNJ2,0
W300BNJ9,1
W300BNY9,1
W300BPYL,1
W300BQ33,1
W300BQTS,1
W300BS21,1
W300BSAP,0
W300BXVL,1
W300BY78,1
W300C1LH,1
W300C4Q1,0
W300C592,1
W300C664,1
W300C9DT,1
W300C9TK,1
W300CK2F,0
W300CXHM,1
W300CYAM,1
W300D26M,1
W300D2HH,1
W300D36L,1
W300D541,1
W300D57L,1
W300D802,0
W300D8TB,1
W300DB1Q,1
W300DC28,1
W300DC56,1
W300DCT4,1
W300DCYD,1
W300DCYK,1
W300DDH0,1
W300DKK8,1
W300DMBB,1
W300DV4E,0
W300DY71,1
W300DZ31,1
W300E02Z,1
W300E0B9,1
W300E0E8,0
W300E19W,1
W300E1GT,1
W300E2GN,1
W300E7VZ,1
W300E8TP,0
W300ETDE,1
W300FDR0,1
W300FXPP,0
W300FZGG,1
W300G9J1,0
W300GLSS,0
W300GMHN,1
W300H396,1
W300H39B,1
W300H39D,1
W300H3HK,1
W300H3PP,1
W300H59B,1
W300H5H6,1
W300H6GR,0
W300H735,1
W300H8GB,1
W300HHH5,1
W300HJ11,1
W300HZJW,1
W300J04Z,1
W300J2DN,1
W300J2PT,1
W300J2V0,1
W300J317,1
W300J3C0,0
W300J485,1
W300J5YC,1
W300J680,1
W300J68Y,1
W300J6BA,1
W300J6BD,1
W300J6K7,1
W300J6N1,1
W300J7WZ,1
W300J81S,1
W300J8BR,1
W300J8DX,1
W300J9M7,1
W300JEZZ,1
W300JG56,1
W300JG5Y,1
W300JK7F,1
W300JMQL,0
W300JNKT,1
W300JTKT,1
W300K11W,1
W300K120,1
W300K1CD,1
W300K1MQ,0
W300K1P8,1
W300K1PD,0
W300K1PR,0
W300K1S3,1
W300K22F,0
W300K24Q,1
W300KF71,0
W300KKJ0,1
W300KKNG,0
W300KKQQ,1
W300KL20,1
W300KLAM,1
W300KLGA,1
W300KNNX,1
W300KQ4N,1
W300KQF0,0
W300KQFB,0
W300KQFX,0
W300KQVG,1
W300KZXV,0
W300KZZE,1
W300L027,1
W300L044,1
W300L07S,0
W300L6QG,0
W300MA9F,0
W300MKC8,0
W300R6KY,1
W300R7RG,0
W300R7T8,0
W300R7TA,0
W300R7TN,0
W300R7YQ,1
W300R8AC,1
W300R8BA,1
W300R8E5,1
W300R8HJ,0
W300R8MD,1
W300R92Z,0
W300R9H4,0
W300SP1H,0
W300SP1V,0
W300SQYG,1
W300STVS,1
W300SYV0,0
W300SZPX,0
W300T09F,0
W300T09N,0
W300T0J6,1
W300T22A,0
W300T3EY,1
W300THEC,0
W300THEG,0
W300THET,0
W300WRGX,1
W3011R2C,0
W3015JSX,0
W301D5NF,0
Z3001G79,1
Z3001NG0,1
Z3001Q0B,0
Z3002Z8J,1
Z3003AMC,0
Z300417H,0
Z30041LK,0
Z3004D6W,1
Z3004J7X,1
Z3004NJ7,0
Z300558S,0
Z3005HDX,0
Z3005HFF,1
Z3005P3M,1
Z3005QFE,1
Z30068GA,1
Z3008SBS,1
Z300CLT4,1
Z300CLVX,1
Z300CNRB,0
Z300CNVT,1
Z300CP5B,1
Z300CPA7,0
Z300CPAG,0
Z300CR9R,1
Z300CRL2,0
Z300CWDP,0
Z300CWKC,1
Z300CWTK,0
Z300CWVS,1
Z300CX14,1
Z300CX2Y,1
Z300CX7N,1
Z300DL92,1
Z300DPXN,0
Z300DYVX,1
Z300E1F2,1
Z300E2NF,0
Z300E4CC,0
Z300E4YV,1
Z300E5K0,0
Z300F92X,0
Z300GP9S,1
Z300GP9Z,1
Z300GPAJ,1
Z300GPAX,1
Z300GPCC,1
Z300GPDT,1
Z300GPDW,1
Z300GPE1,0
Z300GPEX,1
Z300GPFE,1
Z300GPGX,1
Z300GPHJ,1
Z300GPHK,1
Z300GPHY,1
Z300GPJL,1
Z300GPKJ,1
Z300GPL3,1
Z300GPL4,1
Z300GPLD,1
Z300GPLE,1
Z300GPLK,1
Z300GPLT,1
Z300GPMF,1
Z300GPMY,1
Z300GP0,1
Z300GPPN,1
Z300GPQ3,1
Z300GPR2,0
Z300GPR3,0
Z300GPR4,0
Z300GPR5,0
Z300GPR9,0
Z300GPRC,0
Z300GPRK,0
Z300GPRT,0
Z300GPRV,1
Z300GPRW,0
Z300GPRX,0
Z300GPSD,1
Z300GPST,1
Z300GPVL,1
Z300GPW1,1
Z300GPXD,1
Z300GPXL,1
Z300GPYQ,1
Z300GPZW,1
Z300GQ0K,0
Z300GQ0Q,0
Z300GQ2V,1
Z300GQ3X,1
Z300GQ4K,1
Z300GQ6S,1
Z300GQ6V,1
Z300GQ6X,1
Z300GQ77,1
Z300GQ7P,1
Z300GQ8A,1
Z300GQ90,0
Z300GQ91,0
Z300GQ93,0
Z300GQ94,0
Z300GQ95,0
Z300GQ96,0
Z300GQ98,0
Z300GQ9C,0
Z300GQ9L,0
Z300GQ9T,1
Z300GQAS,1
Z300GQB6,1
Z300GQC7,1
Z300GQD0,1
Z300GQEP,1
Z300GQF6,1
Z300GQG5,1
Z300GQGM,1
Z300GQH1,1
Z300GQJ1,1
Z300GQJK,1
Z300GYL3,1
Z300GYLW,1
Z300GYM3,0
Z300GYM7,0
Z300GYM8,0
Z300GYMG,0
Z300GYMK,0
Z300GYMP,0
Z300GYMQ,1
Z300GYMT,0
Z300GYQE,1
Z300GYR9,1
Z300GYRJ,1
Z300GYSB,1
Z300GYSJ,1
Z300GYT4,1
Z300GYV7,1
Z300GYW0,1
Z300GYW5,1
Z300GYX3,1
Z300GYXN,1
Z300GYZ9,1
Z300GYZE,1
Z300GYZG,1
Z300GYZV,1
Z300GZ0R,1
Z300GZ0W,0
Z300GZ1B,1
Z300GZ1F,1
Z300GZ1G,1
Z300GZ1J,1
Z300GZ27,1
Z300GZ34,1
Z300GZ3K,1
Z300GZ45,1
Z300GZ4W,1
Z300GZ60,1
Z300GZ61,1
Z300GZ6R,1
Z300GZ8T,1
Z300GZ8X,0
Z300GZ8Z,1
Z300GZ9L,1
Z300GZ9M,1
Z300GZB0,1
Z300GZB7,1
Z300GZBJ,1
Z300GZBW,1
Z300GZCV,1
Z300GZCY,1
Z300GZD3,1
Z300GZDB,1
Z300GZDV,1
Z300GZEG,1
Z300H1F2,1
Z300H1ZR,1
Z300H20F,1
Z300H279,0
Z300H35G,1
Z300HKS9,1
Z300HQ0D,0
Z300J9C4,1
Z300J9FA,0
Z300J9X8,1
Z300JA6W,1
Z300JBCR,1
Z300JCC4,0
Z300JCC5,0
Z300JCPK,1
Z300JDZC,1
Z300JE0R,0
Z300JE0T,0
Z300JE19,0
Z300JECZ,0
Z300JM1J,1
Z300K0L4,0
Z300K110,1
Z300K15M,0
Z300K1Z7,0
Z300K27P,1
Z300K283,1
Z300K8D1,1
Z300K8D5,1
Z300K8FJ,1
Z300K9CM,1
Z300K9JA,1
Z300KA3E,0
Z300KCGV,1
Z300KCL7,0
Z300KCLC,0
Z300KCLR,0
Z300KCP3,1
Z300KCQ5,0
Z300KCQB,1
Z300KCQV,1
Z300KE6C,1
Z300KFP1,0
Z300KFRP,1
Z300KG6P,1
Z300KG8R,1
Z300KGS8,0
Z300KGTL,1
Z300KH5Y,1
Z300KHFR,1
Z300KHKY,0
Z300KJHZ,1
Z300KK12,1
Z300KKG8,1
Z300KMM3,1
Z300KMMG,1
Z300KMTN,1
Z300KN1Y,1
Z300KYGS,0
Z300LGEX,0
Z300MFYR,0
Z300MFYX,0
Z300MG6N,1
Z300MH1P,1
Z300MHTB,1
Z300MHXJ,0
Z300MHXT,0
Z300MHXV,1
Z300MHY4,1
Z300MJ5G,0
Z300MJAQ,0
Z300MJP5,1
Z300MPYQ,1
Z300MQGV,1
Z300MQSA,0
Z300MWW4,0
Z300MWWE,1
Z300MX0K,0
Z300MXWT,1
Z300MZ4M,1
Z300MZFB,0
Z300NCNR,1
Z300NCXQ,1
Z300ND1M,0
Z300ND1Y,0
Z300NEBW,0
Z300NK0F,0
Z300NK8E,1
Z300NKF1,1
Z300NN1M,1
Z300NP15,0
Z300NP33,1
Z300NT21,0
Z300P8A5,1
Z300P8TT,1
Z300P8WY,1
Z300P8X6,1
Z300P911,1
Z300P92G,1
Z300P9AX,0
Z300P9Q5,0
Z300P9QE,1
Z300P9S8,0
